year,month,day,temperature_day,temperature_night
2002,1,1,+17,+16
2002,1,2,+11,+12
2002,1,3,+11,+8
2002,1,4,+14,+14
2002,1,5,+12,+10
2002,1,6,+10,+7
2002,1,7,+8,+7
2002,1,8,+12,+6
2002,1,9,+5,+6
2002,1,10,+12,+8
2002,1,11,+14,+10
2002,1,12,+14,+8
2002,1,13,+15,+10
2002,1,14,+13,+10
2002,1,15,+15,+9
2002,1,16,+16,+11
2002,1,17,+17,+10
2002,1,18,+17,+11
2002,1,19,+17,+10
2002,1,20,+12,+10
2002,1,21,+15,+12
2002,1,22,+13,+9
2002,1,23,+16,+12
2002,1,24,+14,+13
2002,1,25,+14,+12
2002,1,26,+17,+14
2002,1,27,+18,+15
2002,1,28,+17,+14
2002,1,29,+18,+14
2002,1,30,+18,+13
2002,1,31,+16,+14
2002,2,1,+17,+11
2002,2,2,+18,+12
2002,2,3,+20,+12
2002,2,4,+19,+11
2002,2,5,+19,+15
2002,2,6,+20,+15
2002,2,7,+20,+16
2002,2,8,+20,+14
2002,2,9,+20,+14
2002,2,10,+18,+15
2002,2,11,+15,+14
2002,2,12,+13,+12
2002,2,13,+18,+14
2002,2,14,+18,+14
2002,2,15,+17,+15
2002,2,16,+18,+15
2002,2,17,+18,+14
2002,2,18,+18,+12
2002,2,19,+18,+14
2002,2,20,+17,+14
2002,2,21,+18,+15
2002,2,22,+20,+16
2002,2,23,+19,+15
2002,2,24,+16,+16
2002,2,25,+15,+16
2002,2,26,+16,+10
2002,2,27,+16,+12
2002,2,28,+17,+12
2002,3,1,+17,+14
2002,3,2,+18,+15
2002,3,3,+18,+15
2002,3,4,+18,+14
2002,3,5,+20,+16
2002,3,6,+24,+19
2002,3,7,+23,+17
2002,3,8,+23,+17
2002,3,9,+22,+16
2002,3,10,+22,+19
2002,3,11,+23,+18
2002,3,12,+18,+16
2002,3,13,+18,+15
2002,3,14,+18,+16
2002,3,15,+19,+16
2002,3,16,+19,+16
2002,3,17,+22,+17
2002,3,18,+21,+16
2002,3,19,+20,+15
2002,3,20,+17,+16
2002,3,21,+18,+15
2002,3,22,+20,+15
2002,3,23,+18,+17
2002,3,24,+20,+17
